repo_name	num_forks	num_contributors	total_contributions	num_stars	health_percentage	num_repo_activities	total_contributors
ottrproject/metricminer	NA	4	434	1	62	NA	NA
ottrproject/metricminer-dashboard	NA	4	188	0	62	NA	NA
ottrproject/OTTR_Template	12	18	954	15	75	NA	NA
ottrproject/OTTR_Template_Website	1	7	247	0	37	NA	NA
ottrproject/metricminer	NA	5	NA	2	100	590	489
ottrproject/metricminer-dashboard	NA	5	NA	1	62	521	229
ottrproject/OTTR_Template	14	19	NA	17	75	1564	1006
ottrproject/OTTR_Template_Website	3	8	NA	2	50	414	302
ottrproject/metricminer	NA	5	NA	2	100	595	489
ottrproject/metricminer-dashboard	NA	5	NA	1	62	526	234
ottrproject/OTTR_Template	14	19	NA	17	75	1569	1006
ottrproject/metricminer	NA	5	NA	2	100	604	502
ottrproject/metricminer-dashboard	NA	5	NA	1	62	527	235
